stt,kanji,hanviet,on_reading,kun_reading,stroke_count,radicals,core_meaning,story_image,logic_development,memory_tip,adjectives,vocabulary
152,晴,TÌNH,セイ,は-れる,12,日-nhật|青-thanh,Nắng,Mặt trời (日) chiếu trên nền trời xanh (青).,日-nhat + 青-thanh -> (晴) trời nắng,Thời tiết đẹp không mây.,なし:không có,晴れ(はれ):trời nắng|晴天(せいてん):trời trong|素晴しい(すばらしい):tuyệt vời|気晴らし(きばらし):thư giãn|見晴らし(みはらし):tầm nhìn
153,静,TĨNH,セイ|ジョウ,しず-か,14,青-thanh|争-tranh,Yên tĩnh,Xanh (青) lặng không có tranh (争) chấp.,青-thanh + 争-tranh -> (静) tĩnh lặng,Không gian không tiếng động.,静か(しずか):yên tĩnh,静止(せいし):đứng yên|安静(あんせい):nghỉ ngơi|静脈(じょうみゃく):tĩnh mạch|静まる(しずまる):lắng xuống|平静(へいせい):bình tĩnh
154,寺,TỰ,ジ,てら,6,土-thổ|寸-thốn,Chùa,Nơi đo đạc (寸) đất (土) thánh.,土-tho + 寸-thon -> (寺) ngôi chùa,Nơi tu hành đạo phật.,なし:không có,お寺(おてら):ngôi chùa|寺院(じいん):đền tự|金閣寺(きんかくじ):chùa vàng|清水寺(きよみずでら):chùa kiyomizu|山寺(やまでら):chùa núi
155,持,TRÌ,ジ,も-つ,9,扌-thủ|寺-tự,Cầm|giữ,Dùng tay (扌) giữ ngôi chùa (寺).,扌-thu + 寺-tu -> (持) duy trì,Mang theo hoặc cầm nắm.,なし:không có,持つ(まつ):cầm|気持ち(きもち):cảm giác|金持ち(かねもち):người giàu|支持(しじ):ủng hộ|持参(じさん):mang theo
156,荷,HÀ,カ,に,10,艹-thảo|何-hà,Hàng hóa,Cây cỏ (艹) hỏi cái gì (何) là hàng.,艹-thao + 何-ha -> (荷) hành lý,Đồ đạc cần vận chuyển.,なし:không có,荷物(にもつ):hàng hóa|重荷(おもに):gánh nặng|出荷(しゅっか):xuất hàng|入荷(にゅうか):nhập hàng|手荷物(てにもつ):hành lý xách tay
157,歌,CA,カ,うた-う,14,可-khả|欠-khiếm,Hát,Mở miệng (欠) hát lời khả (可) ái.,可-kha + 欠-khiem -> (歌) bài hát,Âm nhạc phát ra từ miệng.,なし:không có,歌う(うたう):hát|歌手(かしゅ):ca sĩ|歌舞伎(かぶき):kịch kabuki|国歌(こっか):quốc ca|短歌(たんか):thơ tanka
158,友,HỮU,ユウ,とも,4,友-hữu,Bạn,Hai bàn tay đan vào nhau.,友-huu -> (友) bạn bè,Người đồng hành thân thiết.,なし:không có,友達(ともだち):bạn bè|友人(ゆうじん):người bạn|友好(ゆうこう):hữu nghị|親友(しんゆう):bạn thân|戦友(せんゆう):chiến hữu
159,父,PHỤ,フ,ちち,4,父-phụ,Cha,Hình người đàn ông cầm roi dạy bảo.,父-phu -> (父) người cha,Trụ cột trong gia đình.,なし:không có,お父さん(おとうさん):bố|父親(ちちおや):thân phụ|祖父(そふ):ông|父母(ふぼ):bố mẹ|叔父(おじ):chú
160,母,MẪU,ボ,はは,5,母-mẫu,Mẹ,Hình người phụ nữ có hai bầu sữa.,母-mau -> (母) người mẹ,Người sinh thành và nuôi dưỡng.,なし:không có,お母さん(おかあさん):mẹ|母親(ははおや):thân mẫu|祖母(そぼ):bà|母国(ぼこく):mẫu quốc|母語(ぼご):tiếng mẹ đẻ
161,兄,HUYNH,ケイ|キョウ,あに,5,口-khẩu|儿-nhi,Anh trai,Đứa trẻ (儿) biết nói (口) là anh.,口-khau + 儿-nhi -> (兄) anh trai,Người anh lớn trong nhà.,なし:không có,お兄さん(おにいさん):anh|兄弟(きょうだい):anh em|長兄(ちょうけい):anh cả|実兄(じつけい):anh ruột|義兄(ぎけい):anh rể
162,姉,TỶ,シ,あね,8,女-nữ|市-thị,Chị gái,Người nữ (女) đi ra chợ (市).,女-nu + 市-thi -> (姉) chị gái,Người chị trong gia đình.,なし:không có,お姉さん(おねえさん):chị|姉妹(しまい):chị em|長姉(ちょうし):chị cả|実姉(じっし):chị ruột|義姉(ぎし):chị dâu
163,弟,ĐỆ,テイ|ダイ,おとうと,7,弟-đệ,Em trai,Hình cái cọc có quấn dây nỏ.,弟-de -> (弟) em trai,Người em nhỏ trong gia đình.,なし:không có,兄弟(きょうだい):anh em|弟子(でし):đệ tử|義弟(ぎてい):em rể|末弟(まってい):em út|子弟(してい):con em
164,妹,MUỘI,マイ,いもうと,8,女-nữ|未-vị,Em gái,Người nữ (女) chưa (未) trưởng thành.,女-nu + 未-vi -> (妹) em gái,Người em gái nhỏ trong nhà.,なし:không có,妹(いもうと):em gái|姉妹(しまい):chị em|義妹(ぎまい):em dâu|従妹(じゅうまい):em họ nữ|末妹(まつまい):em út nữ
165,夫,PHU,フ,おっと,4,夫-phu,Chồng,Người đàn ông (大) có gạch trên đầu.,夫-phu -> (夫) người chồng,Người đàn ông trụ cột gia đình.,なし:không có,夫(おっと):chồng|夫婦(ふうふ):vợ chồng|丈夫(じょうぶ):bền chắc|工夫(くふう):công phu|夫人(ふじん):phu nhân
166,妻,THÊ,サイ,つま,8,妻-thê,Vợ,Người nữ (女) đội khăn làm việc.,妻-the -> (妻) người vợ,Người phụ nữ trong gia đình.,なし:không có,妻(つま):vợ|夫妻(ふさい):vợ chồng|一妻(いっさい):một vợ|愛妻(あいさい):vợ yêu|前妻(ぜんさい):vợ trước
167,彼,BỈ,ヒ,かれ,8,彳-xích|皮-bì,Anh ấy,Người (彳) khoác lớp da (皮) kia.,彳-xich + 皮-bi -> (彼) người đó,Chỉ người nam hoặc người ấy.,なし:không có,彼(かれ):anh ấy|彼女(かのじょ):cô ấy|彼ら(かれら):họ|彼岸(ひがん):bờ bên kia|彼方(かなた):phương đó
168,主,CHỦ,シュ,ぬし,5,主-chủ,Chủ nhân,Ngọn đèn thắp sáng trên giá đỡ.,主-chu -> (主) làm chủ,Người đứng đầu hoặc quan trọng.,なし:không có,主人(しゅじん):chồng|中心(ちゅうしん):trung tâm|主力(しゅりょく):chủ lực|主な(おもな):chính|持ち主(もちぬし):người sở hữu
169,奥,ÁO,オウ,おく,12,宀-miên|釆-biện|大-đại,Bên trong,Sâu bên dưới mái nhà (宀) to lớn (大).,宀-mien + 大-dai -> (奥) sâu thẳm,Vị trí khuất bên trong.,なし:không có,奥さん(おくさん):vợ người khác|奥地(おくち):vùng sâu|奥歯(おくば):răng hàm|奥義(おうぎ):bí quyết|奥行き(おくゆき):chiều sâu
170,元,NGUYÊN,ゲン|ガン,もと,4,二-nhị|儿-nhi,Nguồn gốc,Phần dưới đôi chân (儿) là nền tảng.,二-nhi + 儿-nhi -> (元) ban đầu,Căn bản hoặc khỏe mạnh.,なし:không có,元気(げんき):khỏe mạnh|元日(がんじつ):mùng một tết|地元(じもと):địa phương|足元(あしもと):dưới chân|紀元前(きげんぜん):trước công nguyên
171,気,KHÍ,キ,なし,6,气-khí|メ-mễ,Khí,Hơi nước (气) bốc lên từ cơm (メ).,气-khi + メ-me -> (気) không khí,Cảm giác hoặc năng lượng.,なし:không có,天気(てんき):thời tiết|電気(でんき):điện|病気(びょうき):ốm|気持ち(きもち):cảm giác|気分(きぶん):tâm trạng
172,有,HỮU,ユウ,あ-る,6,𠂇-tả|月-nguyệt,Có,Bàn tay (𠂇) nắm giữ miếng thịt (月).,𠂇-ta + 月-nguyet -> (有) sở hữu,Sự tồn tại của một vật.,なし:không có,有名(ゆうめい):nổi tiếng|有力(ゆうりょく):có lực|有効(ゆうこう):hiệu lực|所有(しょゆう):sở hữu|有能(ゆうのう):có tài
173,名,DANH,メイ|ミョウ,な,6,夕-tịch|口-khẩu,Tên,Trong đêm (夕) dùng miệng (口) gọi tên.,夕-tich + 口-khau -> (名) danh tính,Cách gọi để phân biệt.,なし:không có,名前(なまえ):tên|有名(ゆうめい):nổi tiếng|名字(みょうじ):họ|名刺(めいし):danh thiếp|名物(めいぶつ):đặc sản
174,親,THÂN,シン,おや|した-しい,16,立-lập|木-mộc|見-kiến,Cha mẹ,Đứng (立) trên cây (木) để nhìn (見) con.,立-lap + 木-moc + 見-kien -> (親) thân thiết,Cha mẹ hoặc người gần gũi.,親しい(したしい):thân thiết,両親(りょうしん):bố mẹ|父親(ちちおや):bố|母親(ははおや):mẹ|親切(しんせつ):tốt bụng|親友(しんゆう):bạn thân
175,切,THIẾT,セツ,き-る,4,七-thất|刀-đao,Cắt,Dùng dao (刀) cắt làm bảy (七) đoạn.,七-that + 刀-dao -> (切) cắt rời,Hành động chia nhỏ hoặc khẩn cấp.,なし:không có,切る(きる):cắt|切手(きって):tem|大切(たいせつ):quan trọng|親切(しんせつ):tốt bụng|締め切り(しめきり):hạn chót
176,便,TIỆN,ベン|ビン,たよ-り,9,亻-nhân|更-canh,Tiện lợi,Người (亻) thay đổi (更) cho thuận tiện.,亻-nhan + 更-canh -> (便) thuận tiện,Tin tức hoặc sự tiện ích.,なし:không có,便利(べんり):tiện lợi|郵便局(ゆうびんきょく):bưu điện|航空便(こうくうびん):thư máy bay|便所(べんじょ):nhà vệ sinh|宅急便(たっきゅうびん):giao hàng nhanh
177,利,LỢI,リ,き-く,7,禾-hoa|刀-đao,Lợi nhuận,Dùng dao (刀) thu hoạch lúa (禾).,禾-hoa + 刀-dao -> (利) lợi ích,Sự hiệu quả hoặc tiền lời.,なし:không có,便利(べんり):tiện lợi|利用(りよう):sử dụng|利益(りえき):lợi nhuận|金利(きんり):lãi suất|有利(ゆうり):có lợi
178,不,BẤT,フ,なし,4,不-bất,Không,Hình chim bay lên trời không trở lại.,不-bat -> (不) phủ định,Từ dùng để phủ định ý nghĩa.,なし:không có,不便(ふべん):bất tiện|不安(ふあん):bất an|不足(ふそく):thiếu|不運(ふうん):không may|不可能(ふかのう):không thể
179,若,NHƯỢC,ジャク,わか-い,8,艹-thảo|右-hữu,Trẻ,Tay (右) hái cỏ (艹) khi còn xanh.,艹-thao + 右-huu -> (若) trẻ trung,Độ tuổi thanh xuân.,若い(わかい):trẻ,若者(わかもの):người trẻ|若さ(わかさ):sự trẻ trung|若手(わかて):người mới trẻ|若々しい(わかわかしい):trẻ trung|若干(じゃっかん):một ít
180,早,TẢO,ソウ,はや-い,6,日-nhật|十-thập,Sớm,Mặt trời (日) mọc trên ngọn cỏ (十).,日-nhat + 十-thap -> (早) sớm sủa,Thời gian bắt đầu từ sớm.,早い(はやい):sớm,早く(はやく):nhanh lên|早朝(そうちょう):sáng sớm|早退(そうたい):về sớm|早起き(はやおき):dậy sớm|早速(さっそく):ngay lập tức
181,忙,MANG,ボウ,いそが-しい,7,忄-tâm|亡-vong,Bận,Tâm (忄) bị mất (亡) vì quá nhiều việc.,忄-tam + 亡-vong -> (忙) bận rộn,Không có thời gian rảnh.,忙しい(いそがしい):bận,多忙(たぼう):rất bận|忙殺(ぼうさつ):bận túi bụi|繁忙期(はんぼうき):mùa bận rộn|忙中(ぼうちゅう):lúc bận|慌ただしい(あわただしい):hối hả
182,出,XUẤT,シュツ,で-る|だ-す,5,出-xuất,Ra,Hình mầm cây mọc ra khỏi đất.,出-xuat -> (出) đi ra,Di chuyển ra ngoài.,なし:không có,出る(でる):ra|出口(でぐち):lối ra|出す(だす):lấy ra|出発(しゅっぱつ):xuất phát|思い出(おもいで):kỷ niệm
183,入,NHẬP,ニュウ,はい-る|い-れる,2,入-nhập,Vào,Hình lối vào hầm trú ẩn.,入-nhap -> (入) đi vào,Di chuyển vào bên trong.,なし:không có,入る(はいる):vào|入口(いりぐち):lối vào|入れる(いれる):cho vào|入学(にゅうがく):nhập học|入院(にゅういん):nhập viện
184,乗,THỪA,ジョウ,の-る,9,禾-hoa|北-bắc,Lên xe,Người đứng trên cây (禾) để lên xe.,禾-hoa -> (乗) cưỡi|lên,Sử dụng phương tiện di chuyển.,なし:không có,乗る(のる):lên xe|乗客(じょうきゃく):hành khách|乗り物(のりもの):phương tiện|乗車(じょうしゃ):lên tàu|乗馬(じょうば):cưỡi ngựa
185,降,HÀNG|GIÁNG,コウ,お-りる|ふ-る,10,阝-phụ|夅-giáng,Xuống|rơi,Đi xuống (夅) từ sườn núi (阝).,阝-phu + 夅-giang -> (降) rơi xuống,Mưa rơi hoặc xuống xe.,なし:không có,降りる(おりる):xuống|降る(ふる):rơi (mưa)|降車(こうしゃ):xuống xe|降雪(こうせつ):tuyết rơi|以降(いこう):sau đó
186,着,TRƯỚC,チャク,き-る|つ-く,12,羊-dương|目-mục,Mặc|đến,Con cừu (羊) nhìn (目) quần áo để mặc.,羊-duong + 目-muc -> (着) mặc áo,Đeo đồ lên người hoặc tới nơi.,なし:không có,着る(きる):mặc|着く(つく):đến nơi|下着(したぎ):đồ lót|着物(きもの):kimono|到着(とうちゃく):đến nơi
187,渡,ĐỘ,ト,わた-る,12,氵-thủy|度-độ,Băng qua,Dùng nước (氵) để đo độ (度) qua sông.,氵-thuy + 度-do -> (渡) vượt qua,Di chuyển sang bờ bên kia.,なし:không có,渡る(わたる):băng qua|渡す(わたす):trao cho|渡り鳥(わたりどり):chim di cư|渡航(とこう):đi du lịch biển|渡辺(わたなべ):tên watanabe
188,通,THÔNG,ツウ,とお-る|かよ-う,10,辶-sước|甬-dũng,Đi qua,Đi (辶) qua con đường (甬) thông suốt.,辶-suoc + 甬-dung -> (通) thông qua,Di chuyển thường xuyên.,なし:không có,通る(とおる):đi qua|通う(かよう):đi học|交通(こうつう):giao thông|通り(どおり):con phố|普通(ふつう):bình thường
189,走,TẨU,ソウ,はし-る,7,土-thổ|疋-sơ,Chạy,Người chạy trên đất (土) bằng chân (疋).,土-tho + 疋-so -> (走) chạy bộ,Di chuyển nhanh bằng chân.,なし:không có,走る(はしる):chạy|走行(そうこう):xe chạy|走者(そうしゃ):người chạy|競走(きょうそう):chạy đua|独走(どくそう):chạy một mình
190,歩,BỘ,ホ,ある-く,8,止-chỉ|少-thiểu,Đi bộ,Dừng (止) một ít (少) để bước đi.,止-chi + 少-thieu -> (歩) đi bộ,Di chuyển thong thả bằng chân.,なし:không có,歩く(あるく):đi bộ|歩道(ほどう):vỉa hè|散歩(さんぽ):đi dạo|進歩(しんぽ):tiến bộ|一歩(いっぽ):một bước
191,止,CHỈ,シ,と-まる,4,止-chỉ,Dừng,Hình bàn chân dừng lại.,止-chi -> (止) đình chỉ,Không di chuyển nữa.,なし:không có,止まる(とまる):dừng lại|中止(ちゅうし):hủy bỏ|禁止(きんし):cấm|通行止め(つうこうどめ):cấm đi lại|停止(ていし):tạm dừng
192,動,ĐỘNG,ドウ,うご-く,11,重-trọng|力-lực,Cử động,Dùng lực (力) đẩy vật nặng (重).,重-trong + 力-luc -> (動) di chuyển,Thay đổi trạng thái tĩnh.,なし:không có,動く(うごく):chuyển động|動物(どうぶつ):động vật|自動車(じどうしゃ):xe ô tô|運動(うんどう):vận động|動作(どうさ):thao tác
193,動,ĐỘNG,ドウ,うご-く,11,重-trọng|力-lực,Cử động,Dùng lực (力) đẩy vật nặng (重).,重-trong + 力-luc -> (動) di chuyển,Thay đổi trạng thái tĩnh.,なし:không có,動く(うごく):chuyển động|動物(どうぶつ):động vật|自動車(じどうしゃ):xe ô tô|運動(うんどう):vận động|動作(どうさ):thao tác
194,右,HỮU,ウ|ユウ,みぎ,5,𠂇-tả|口-khẩu,Bên phải,Bàn tay (𠂇) đưa thức ăn vào miệng (口).,𠂇-ta + 口-khau -> (右) bên phải,Hướng ngược với bên trái.,なし:không có,右(みぎ):bên phải|右手(みぎて):tay phải|右折(うせつ):rẽ phải|左右(さゆう):trái phải|右側(みぎがわ):phía bên phải
195,左,TẢ,サ,ひだり,5,𠂇-tả|工-công,Bên trái,Bàn tay (𠂇) cầm công cụ (工).,𠂇-ta + 工-cong -> (左) bên trái,Hướng ngược với bên phải.,なし:không có,左(ひだり):bên trái|左手(ひだりて):tay trái|左折(させつ):rẽ trái|左右(さゆう):trái phải|左側(ひだりがわ):phía bên trái
196,東,ĐÔNG,トウ,ひがし,8,木-mộc|日-nhật,Phía đông,Mặt trời (日) mọc xuyên qua cây (木).,木-moc + 日-nhat -> (東) phương đông,Hướng mặt trời mọc.,なし:không có,東京(とうきょう):tokyo|東口(ひがしぐち):cửa đông|中東(ちゅうとう):trung đông|東洋(とうよう):phương đông|東北(とうほく):vùng tohoku
197,西,TÂY,セイ|サイ,にし,6,西-tây,Phía tây,Hình con chim đậu trên tổ khi chiều.,西-tay -> (西) phương tây,Hướng mặt trời lặn.,なし:không có,西洋(せいよう):phương tây|西口(にしぐち):cửa tây|関西(かんさい):vùng kansai|北西(ほくせい):tây bắc|南西(なんせい):tây nam
198,北,BẮC,ホク,きた,5,北-bắc,Phía bắc,Hai người ngồi quay lưng vào nhau.,北-bac -> (北) phương bắc,Hướng đối diện với phía nam.,なし:không có,北海道(ほっかいどう):hokkaido|北口(きたぐち):cửa bắc|南北(なんぼく):nam bắc|敗北(はいぼく):thất bại|北極(ほっきょく):bắc cực
199,南,NAM,ナン,みなみ,9,南-nam,Phía nam,Hình cái chuông treo ở phương nam.,南-nam -> (南) phương nam,Hướng đối diện với phía bắc.,なし:không có,南(みなみ):phía nam|南口(みなみぐち):cửa nam|東南アジア(とうなんあじあ):đông nam á|南極(なんきょく):nam cực|南米(なんべい):nam mỹ
200,外,NGOẠI,ガイ,そと,5,夕-tịch|ト-bốc,Ngoài,Bói toán (ト) vào buổi tối (夕) bên ngoài.,夕-tich + ト-boc -> (外) bên ngoài,Không gian bên ngoài.,なし:không có,外国(がいこく):nước ngoài|外出(がいしゅつ):ra ngoài|以外(いがい):ngoại trừ|外科(げか):ngoại khoa|外側(そとがわ):phía ngoài
201,内,NỘI,ナイ,うち,4,冂-quynh|入-nhập,Trong,Đi vào (入) vùng giới hạn (冂).,冂-quynh + 入-nhap -> (内) bên trong,Không gian bên trong.,なし:không có,家内(かない):vợ mình|国内(こくない):trong nước|以内(いない):trong vòng|内側(うちがわ):phía trong|内容(ないよう):nội dung
202,部,BỘ,ブ,なし,11,立-lập|口-khẩu|阝-phụ,Bộ phận,Mọi người đứng (立) nói (口) ở vùng (阝).,立-lap + 口-khau + 阝-phu -> (部) bộ phận,Một phần của tổng thể.,なし:không có,部屋(へや):căn phòng|学部(がくぶ):khoa đại học|部分(ぶぶん):bộ phận|部長(ぶちょう):trưởng phòng|全部(ぜんぶ):toàn bộ
203,駅,DỊCH,エキ,なし,14,馬-mã|尺-xích,Nhà ga,Nơi ngựa (馬) dừng chân đo khoảng cách (尺).,馬-ma + 尺-xich -> (駅) nhà ga,Nơi phương tiện dừng đón khách.,なし:không có,駅(えき):nhà ga|駅員(えきいん):nhân viên ga|東京駅(とうきょうえき):ga tokyo|駅前(えきまえ):trước ga|駅弁(えきべん):cơm hộp ở ga
204,社,XÃ,シャ,やしろ,7,礻-thị|土-thổ,Xã hội,Nơi thờ cúng (礻) trên đất (土) địa phương.,礻-thi + 土-tho -> (社) đền thờ,Tổ chức hoặc công ty.,なし:không có,会社(かいしゃ):công ty|神社(じんじゃ):đền thờ|社会(しゃかい):xã hội|社長(しゃちょう):giám đốc|支社(ししゃ):chi nhánh
205,院,VIỆN,イン,なし,10,阝-phụ|完-hoàn,Học viện,Tòa nhà hoàn thiện (完) bên sườn núi (阝).,阝-phu + 完-hoan -> (院) tòa nhà,Cơ quan y tế hoặc giáo dục.,なし:không có,病院(びょういん):bệnh viện|大学院(だいがくいん):cao học|入院(にゅういん):nhập viện|退院(たいいん):xuất viện|院長(いんちょう):viện trưởng
206,地,ĐỊA,チ|ジ,なし,6,土-thổ|也-dã,Đất đai,Đất (土) và những gò đất (也).,土-tho + 也-da -> (地) mặt đất,Địa hình hoặc nơi chốn.,なし:không có,地下鉄(ちかてつ):tàu điện ngầm|地図(ちず):bản đồ|地位(ちい):địa vị|地方(ちほう):địa phương|土地(とち):đất đai
207,鉄,THIẾT,テツ,なし,13,金-kim|失-thất,Sắt,Vàng (金) bị mất (失) thành sắt.,金-kim + 失-that -> (鉄) kim loại sắt,Vật liệu xây dựng bền bỉ.,なし:không có,地下鉄(ちかてつ):tàu điện ngầm|鉄道(てつどう):đường sắt|私鉄(してつ):đường sắt tư nhân|鉄分(てつぶん):chất sắt|鉄板(てっぱん):tấm sắt
208,工,CÔNG,コウ|ク,なし,3,工-công,Công việc,Hình cái thước của thợ mộc.,工-cong -> (工) nhân công,Sản xuất hoặc kỹ thuật.,なし:không có,工場(こうじょう):nhà máy|工業(こうぎょう):công nghiệp|工学(こうがく):kỹ thuật học|大工(だいく):thợ mộc|工事(こうじ):công trường
209,場,TRƯỜNG,ジョウ,ば,12,土-thổ|昜-dương,Địa điểm,Mặt đất (土) có ánh mặt trời (昜) chiếu.,土-tho + 昜-duong -> (場) nơi chốn,Vị trí xảy ra sự việc.,なし:không có,場所(ばしょ):địa điểm|工場(こうじょう):nhà máy|会場(かいじょう):hội trường|売り場(うりば):nơi bán hàng|場合(ばあい):trường hợp
210,図,ĐỒ,ズ|ト,はか-る,7,囗-vi|図-đồ,Bản đồ,Vùng đất (囗) được vẽ sơ đồ bên trong.,囗-vi -> (図) biểu đồ,Hình vẽ mô phỏng.,なし:không có,地図(ちず):bản đồ|図書館(としょかん):thư viện|図形(ずけい):hình học|図画(ずが):hội họa|意図(いと):ý đồ
211,館,QUÁN,カン,なし,16,食-thực|官-quan,Tòa nhà,Nơi quan viên (官) đến ăn (食).,食-thuc + 官-quan -> (館) hội quán,Công trình lớn phục vụ công cộng.,なし:không có,図書館(としょかん):thư viện|大使館(たいしかん):đại sứ quán|映画館(えいがかん):rạp phim|旅館(りょかん):nhà trọ|博物館(はくぶつかん):bảo tàng
212,公,CÔNG,コウ,おおやけ,4,八-bát|厶-khu,Công cộng,Phân chia (八) việc riêng (厶) cho mọi người.,八-bat + 厶-khu -> (公) chung,Không tư hữu.,なし:không có,公園(こうえん):công viên|公立(こうりつ):công lập|公務員(こうむいん):công chức|公平(こうへい):công bằng|公式(こうしき):công thức
213,園,VIÊN,エン,その,13,囗-vi|袁-viên,Vườn,Vùng đất (囗) trồng hoa viên.,囗-vi + 袁-vien -> (園) khu vườn,Nơi trồng cây hoặc vui chơi.,なし:không có,公園(こうえん):công viên|動物園(どうぶつえん):vườn bách thú|幼稚園(ようちえん):trường mầm non|学園(がくえん):học đường|庭園(ていえん):đình viên
214,住,TRÚ,ジュウ,す-む,7,亻-nhân|主-chủ,Cư trú,Người (亻) làm chủ (主) nơi ở.,亻-nhan + 主-chu -> (住) sinh sống,Định cư lâu dài.,なし:không có,住む(すむ):sống|住所(じゅうしょ):địa chỉ|住民(じゅうみん):dân cư|住宅(じゅうたく):nhà ở|移住(いじゅう):di cư
215,所,SỞ,ショ,ところ,8,戸-hộ|斤-cân,Nơi chốn,Dùng rìu (斤) làm cửa (戸) ở một nơi.,戸-ho + 斤-can -> (所) địa điểm,Vị trí cụ thể.,なし:không có,場所(ばしょ):địa điểm|住所(じゅうしょ):địa chỉ|近所(きんじょ):hàng xóm|事務所(じむしょ):văn phòng|台所(だいどころ):nhà bếp
216,番,PHIÊN,バン,なし,12,釆-biện|田-điền,Số thứ tự,Phân chia (釆) ruộng (田) theo phiên.,釆-bien + 田-dien -> (番) lượt,Lượt hoặc con số phân loại.,なし:không có,一番(いちばん):số một|番号(ばんごう):số thứ tự|交番(こうばん):đồn cảnh sát|番組(ばんぐみ):chương trình|当番(とうばん):trực nhật
217,号,HIỆU,ゴウ,なし,5,口-khẩu,Ký hiệu,Phát ra âm thanh từ miệng (口).,口-khau -> (号) tên hiệu,Con số hoặc danh hiệu.,なし:không có,番号(ばんごう):số|信号(しんごう):đèn giao thông|号外(ごうがい):báo đặc biệt|三号車(さんごうしゃ):toa số ba|暗号(あんごう):mật mã
218,市,THỊ,シ,いち,5,市-thị,Thành phố,Nơi mọi người tụ họp mua bán.,市-thi -> (市) chợ,Khu vực đông dân cư.,なし:không có,市民(しみん):thị dân|市場(いちば):chợ|市長(しちょう):thị trưởng|都市(とし):đô thị|市役所(しやくしょ):tòa thị chính
219,町,ĐINH,チョウ,まち,7,田-điền|丁-đinh,Khu phố,Ruộng (田) được chia theo lô (丁).,田-dien + 丁-dinh -> (町) thị trấn,Đơn vị hành chính nhỏ.,なし:không có,町長(ちょうちょう):thị trưởng thị trấn|下町(したまち):khu phố cổ|町中(まちじゅう):khắp thị trấn|隣町(となりまち):thị trấn bên cạnh|北町(きたまち):khu phố bắc
220,村,THÔN,ソン,むら,7,木-mộc|寸-thốn,Làng,Cái cây (木) đo đạc (寸) ranh giới làng.,木-moc + 寸-thon -> (村) làng mạc,Khu dân cư ở nông thôn.,なし:không có,村長(そんちょう):trưởng thôn|村人(むらびと):dân làng|漁村(ぎょそん):làng chài|農村(のうそん):nông thôn|山村(さんそん):làng núi
221,区,KHU,ク,なし,4,匚-phương|メ-mễ,Khu vực,Phân chia đồ vật (メ) vào hộp (匚).,匚-phuong + メ-me -> (区) phân khu,Vùng đất được chia nhỏ.,なし:không có,区役所(くやくしょ):tòa hành chính quận|区別(くべつ):phân biệt|区分(くぶん):phân đoạn|区間(くかん):khoảng cách|地区(ちく):địa khu
222,都,ĐÔ,ト|ツ,みやこ,11,者-giả|阝-phụ,Kinh đô,Nơi nhiều người (者) ở sườn núi (阝).,者-gia + 阝-phu -> (都) đô thị,Trung tâm chính trị văn hóa.,なし:không có,東京都(とうきょうと):thủ đô tokyo|都会(とかい):thành phố|都合(つごう):điều kiện|京都(きょうと):kyoto|都市(とし):đô thị
223,府,PHỦ,フ,なし,8,广-nghiễm|付-phó,Phủ (hành chính),Nơi lưu trữ (付) dưới mái hiên (广).,广-nghiem + 付-pho -> (府) phủ,Cơ quan chính phủ cấp tỉnh.,なし:không có,大阪府(おおさかふ):tỉnh osaka|京都府(きょうとふ):tỉnh kyoto|政府(せいふ):chính phủ|府知事(ふちじ):thống đốc phủ|都道府県(とどうふけん):các tỉnh thành
224,県,HUYỆN,ケン,なし,9,県-huyện,Tỉnh,Hình quả tim treo ngược để răn đe.,県-huyen -> (県) đơn vị tỉnh,Phân chia hành chính lớn.,なし:không có,県庁(けんちょう):tòa tỉnh trưởng|県立(けんりつ):tỉnh lập|青森県(あおもりけん):tỉnh aomori|県道(けんどう):đường tỉnh|県境(けんざい):biên giới tỉnh
225,島,ĐẢO,トウ,しま,10,山-sơn|鳥-điểu,Hòn đảo,Nơi con chim (鳥) đậu trên núi (山).,鳥-dieu + 山-son -> (島) đảo,Vùng đất giữa biển.,なし:không có,島国(しまぐに):đảo quốc|広島(ひろしま):hiroshima|半径(はんとう):bán đảo|無人島(むじんとう):đảo không người|島民(とうみん):dân đảo
226,京,KINH,キョウ|ケイ,なし,8,亠-đầu|口-khẩu|小-tiểu,Kinh đô,Tòa nhà cao (亠) có cửa (口) nhỏ (小).,亠-dau + 口-khau + 小-tieu -> (京) kinh thành,Nơi vua ở.,なし:không có,東京(とうきょう):tokyo|京都(きょうと):kyoto|京浜(けいひん):vùng tokyo-yokohama|京成(けいせい):tên tàu keisei|上京(じょうきょう):lên kinh đô
227,様,DẠNG,ヨウ,さま,14,木-mộc|羊-dương,Ngài|hình dạng,Hình mẫu (羊) làm từ gỗ (木).,木-moc + 羊-duong -> (様) diện mạo,Cách xưng hô tôn kính.,なし:không có,お客様(おきゃくさま):khách hàng|様子(ようす):tình hình|皆様(みなさま):mọi người|様式(ようしき):hình thức|多様(たよう):đa dạng
228,練,LUYỆN,レン,ね-る,14,糸-mịch|東-đông,Luyện tập,Lấy sợi chỉ (糸) phơi ở hướng đông (東).,糸-mich + 東-dong -> (練) rèn luyện,Mài giũa kỹ năng.,なし:không có,練習(れんしゅう):luyện tập|試練(しれん):thử thách|訓練(くんれん):huấn luyện|練る(ねる):trau chuốt|洗練(せんれん):tinh tế
